,Titles,Description,Tags,Date
229,Uramichi Oniisan,"['you', 'ever', 'watch', 'a', 'childrens', 'entertainment', 'show', 'on', 'tv', 'and', 'wonder', 'why', 'grown', 'adults', 'are', 'wearing', 'ridiculous', 'outfits', 'while', 'being', 'seemingly', 'forced', 'to', 'sing', 'childrens', 'songs', 'or', 'perform', 'in', 'degrading', 'scenes', 'that', 'no', 'sane', 'adult', 'would', 'realistically', 'do', 'normally', 'life', 'lessons', 'with', 'uramichioniisan', 'is', 'a', 'comical', 'and', 'pessimistic', 'take', 'where', 'these', 'adult', 'performers', 'are', 'fed', 'up', 'but', 'also', 'need', 'to', 'keep', 'their', 'jobs', 'although', 'the', 'show', 'mainly', 'focuses', 'on', 'the', 'titlecharacter', 'uramichi', 'it', 'also', 'does', 'a', 'great', 'job', 'representing', 'the', 'similar', 'and', 'also', 'comedic', 'struggles', 'of', 'the', 'other', 'adults', 'that', 'are', 'acting', 'alongside', 'him', 'the', 'comedy', 'of', 'this', 'show', 'is', 'centered', 'around', 'the', 'many']",Recommended,17-Aug-24
230,Digimon Adventure,"['so', 'i', 'first', 'watched', 'a', 'very', 'small', 'amount', '9', 'or', '10', 'episodes', 'as', 'a', 'kid', 'in', 'english', 'dub', 'loved', 'it', 'then', 'as', 'a', '20', 'year', 'old', 'adult', 'i', 'watched', 'the', 'whole', 'thing', 'in', 'japanese', 'loved', 'it', 'digimon', 'adventure', 'is', 'an', 'incredible', 'achievement', 'in', 'low', 'budget', 'childrens', 'anime', 'because', 'this', 'is', 'definitely', 'a', 'childrens', 'anime', 'but', 'unlike', 'most', 'kids', 'tv', 'its', 'actually', 'very', 'well', 'written', 'the', 'character', 'development', 'of', 'taichi', 'and', 'mimi', 'in', 'particular', 'but', 'all', 'of', 'the', 'mains', 'in', 'general', 'is', 'so', 'very', 'well', 'done', 'and', 'actually', 'quite', 'compelling', 'one', 'episode', 'even', 'deals', 'with', 'ptsd', 'which', 'is', 'insane', 'for', 'a', '90s', 'kids', 'anime', 'its', 'so']",Recommended,17-Aug-24
231,Summertime Render,"['an', 'absolute', 'masterpiece', 'if', 'you', 'are', 'a', 'fan', 'of', 'time', 'loop', 'type', 'of', 'anime', 'like', 'steins', 'gate', 'or', 're', 'zero', 'or', 'want', 'to', 'see', 'complex', 'and', 'fun', 'fights', 'that', 'remind', 'you', 'of', 'jojo', 'you', 'will', 'love', 'this', 'the', 'music', 'is', 'next', 'level', 'animations', 'are', 'superb', 'and', 'all', 'of', 'the', 'mainsupporting', 'cast', 'is', 'really', 'likable', 'also', 'its', 'a', 'finished', 'story', 'so', 'you', 'dont', 'need', 'to', 'worry', 'about', 'cliffhangers', 'and', 'waiting', 'for', 'another', 'season', 'things', 'do', 'start', 'slow', 'and', 'ramp', 'up', 'as', 'the', 'time', 'goes', 'so', 'dont', 'drop', 'this', 'half', 'way', 'through', 'by', 'thinking', 'its', 'dragging', 'on', 'and', 'that', 'it', 'should', 'have', 'been', '12', 'eps', 'all', 'of']",Recommended,17-Aug-24
232,D-Frag!,"['stories', '75', 'in', 'terms', 'of', 'the', 'story', 'this', 'anime', 'actually', 'revolves', 'around', 'a', 'problem', 'namely', 'maintaining', 'the', 'game', 'development', 'club', 'peppered', 'with', 'absurd', 'stupid', 'behavior', 'and', 'i', 'think', 'this', 'is', 'funny', 'and', 'i', 'enjoy', 'watching', 'it', 'visuals75', 'nothing', 'special', 'just', 'ordinary', 'in', 'my', 'eyes', 'but', 'very', 'enjoyable', 'character', '85', 'i', 'cant', 'discuss', 'much', 'because', 'almost', 'all', 'the', 'characters', 'here', 'are', 'very', 'absurd', 'and', 'a', 'bit', 'stupid', 'there', 'is', 'one', 'that', 'caught', 'my', 'attention', 'namely', 'the', 'mc', 'himself', 'who', 'wants', 'to', 'live', 'a', 'quiet', 'life', 'in', 'high', 'school', 'but', 'is', 'disturbed', 'by', 'very', 'absurd', 'friends', 'v', 'enjoyment', '95', 'this', 'is', 'what', 'is', 'very', 'important', 'about', 'this', 'anime', 'for', 'some', 'reason', 'i', 'really', 'enjoy', 'this', 'anime', 'maybe', 'because', 'the', 'comedy', 'offered', 'by', 'this', 'anime', 'is', 'not', 'monotonous', 'and', 'that', 'makes', 'me', 'happy', 'd', 'overall', '9', 'sorry', 'if', 'im', 'too', 'stiff', 'to', 'give', 'my', 'opinion', 'v']",Recommended,17-Aug-24
233,Sentai Daishikkaku,"['its', 'a', 'fun', 'little', 'show', 'but', 'not', 'really', 'one', 'that', 'invokes', 'much', 'thought', 'after', 'all', 'the', 'show', 'is', 'basically', 'still', 'a', 'shounen', 'show', 'except', 'that', 'its', 'the', 'inverse', 'of', 'what', 'usually', 'happens', 'our', 'main', 'character', 'is', 'a', 'nameless', 'fighter', 'd', 'fighting', 'for', 'the', 'evil', 'organization', 'versus', 'the', 'supposed', 'righteous', 'super', 'sentai', 'well', 'at', 'least', 'the', 'setting', 'explains', 'most', 'of', 'it', 'our', 'main', 'characters', 'not', 'programmed', 'to', 'be', 'very', 'smart', 'hes', 'just', 'an', 'expendable', 'minion', 'so', 'he', 'kind', 'of', 'has', 'an', 'infantile', 'worldview', 'of', 'things', 'and', 'cant', 'be', 'very', 'scheming', 'as', 'a', 'result', 'hes', 'trying', 'to', 'infiltrate', 'the', 'super', 'sentai', 'organization', 'but', 'he', 'cant', 'help', 'but']",Recommended,17-Aug-24
234,Mahou Shoujo Lyrical Nanoha,"['ive', 'heard', 'a', 'lot', 'of', 'praise', 'given', 'to', 'this', 'show', 'on', 'a', 'few', 'message', 'boards', 'and', 'as', 'an', 'avid', 'fan', 'of', 'the', 'magical', 'girl', 'genre', 'i', 'decided', 'to', 'give', 'it', 'a', 'go', 'part', '1', 'before', 'fate', 'the', 'episodes', 'before', 'fate', 'are', 'fine', 'rather', 'dull', 'people', 'describe', 'it', 'as', 'standard', 'magical', 'girl', 'fare', 'but', 'i', 'personally', 'think', 'standard', 'magical', 'girl', 'fair', 'was', 'more', 'enjoyable', 'than', 'these', 'episodes', 'most', 'of', 'it', 'is', 'telepathic', 'exposition', 'dumps', 'between', 'nahona', 'and', 'yuuno', 'where', 'something', 'else', 'is', 'happening', 'while', 'they', 'talk', 'without', 'their', 'mouths', 'moving', 'which', 'id', 'often', 'joke', 'was', 'done', 'to', 'save', 'on', 'animation', 'another', 'thing', 'i', 'noticed', 'was', 'the']",Not Recommended,17-Aug-24
235,Spy x Family,"['67510', 'this', 'show', 'was', 'good', 'not', 'great', 'and', 'forsure', 'a', 'bit', 'over', 'hyped', 'dont', 'get', 'me', 'wrong', 'i', 'enjoyed', 'the', 'show', 'and', 'it', 'even', 'made', 'me', 'giggle', 'almost', 'every', 'episode', 'the', 'beginning', 'of', 'the', 'show', 'is', 'extremely', 'strong', 'i', 'would', 'say', 'the', 'first', '35', 'episodes', 'were', 'deserving', 'of', 'the', 'hype', 'and', 'i', 'would', 'say', 'those', 'were', 'somewhere', 'around', 'a', '7810', 'and', 'for', 'me', 'as', 'someone', 'as', 'i', 'say', 'every', 'review', 'grades', 'pretty', 'harshly', 'as', '510', 'is', 'and', 'should', 'be', 'the', 'average', 'mayhaps', 'if', 'this', 'show', 'was', 'shorter', 'and', 'could', 'encapsulate', 'the', 'good', 'moments', 'down', 'it', 'probably', 'could', 'have', 'maintained', 'the', '810', 'hype', 'the', 'biggest', 'problem']",Recommended,17-Aug-24
236,Hoshiai no Sora,"['fascinating', 'for', 'all', 'the', 'wrong', 'reasons', 'from', 'everything', 'id', 'heard', 'about', 'this', 'show', 'i', 'expected', 'there', 'to', 'be', 'great', 'depth', 'in', 'character', 'exploration', 'as', 'they', 'face', 'the', 'many', 'tough', 'themes', 'that', 'are', 'presented', 'and', 'it', 'did', 'have', 'the', 'potential', 'to', 'be', 'all', 'that', 'had', 'the', 'execution', 'not', 'been', 'so', 'utterly', 'atrocious', 'i', 'swear', 'i', 'have', 'never', 'come', 'across', 'such', 'a', 'deplorable', 'depiction', 'of', 'the', 'human', 'psyche', 'there', 'is', 'not', 'one', 'instant', 'with', 'a', 'trace', 'of', 'developement', 'analysis', 'or', 'critical', 'thinking', 'all', 'we', 'get', 'is', 'a', 'constant', 'bombardment', 'of', 'the', 'most', 'repulsive', 'conduct', 'parents', 'can', 'possibly', 'have', 'as', 'that', 'and', 'their', 'kids', 'trauma', 'and', 'psychological', 'turmoil', 'is', 'used', 'all']",Not Recommended,17-Aug-24
237,"""Oshi no Ko"" 2nd Season","['a', 'stunning', 'season', 'with', 'a', 'plotless', 'plot', 'tldr', 'oshi', 'no', 'ko', 'season', '2', 'should', 'have', 'been', 'a', 'separate', 'anime', 'except', 'few', 'scenes', 'rather', 'than', 'a', 'sequel', 'to', 'the', 'season', '1', 'maybe', 'a', 'sidestory', 'when', 'reviewing', 'tv', 'shows', 'i', 'focus', 'on', 'engagement', 'animation', 'quality', 'sound', 'design', 'character', 'design', 'development', 'and', 'worldbuilding', 'unfortunately', 'even', 'with', 'impressive', 'visuals', 'and', 'sound', 'a', 'show', 'can', 'falter', 'if', 'the', 'story', 'doesn’t', 'deliver']",Not Recommended,17-Aug-24
238,SK8,"['this', 'anime', 'is', 'visually', 'interesting', 'and', 'has', 'overall', 'welldone', 'animation', 'pacing', 'and', 'storytelling', 'i', 'had', 'to', 'drop', 'it', 'at', 'episode', '5', 'because', 'of', 'a', 'drawn', 'out', 'weirdly', 'suggestive', 'scene', 'where', 'a', 'grown', 'man', 'who', 'seems', 'to', 'be', 'in', 'his', '30s', 'is', 'making', 'all', 'sorts', 'of', 'innuendos', 'and', 'proclamations', 'of', 'love', 'towards', 'a', 'high', 'school', 'student', 'there', 'is', 'a', 'skateboard', 'locking', 'scene', 'where', 'there', 'is', 'some', 'extra', 'pelvic', 'action', 'and', 'body', 'contact', 'that', 'is', 'too', 'obviously', 'innuendo', 'to', 'be', 'a', 'coincidence', 'a', 'simple', 'fix', 'would', 'be', 'to', 'have', 'the', 'two', 'main', 'characters', 'in', 'their', '3rd', 'or', '4th', 'year', 'of', 'university', 'instead', 'of', 'high', 'school', 'and', 'make']",Not Recommended,17-Aug-24
239,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['i', 'am', 'going', 'to', 'review', 'this', 'as', 'if', 'it', 'were', 'one', 'of', 'either', 'isekai', 'fantasy', 'or', 'gaming', 'because', 'to', 'me', 'these', 'three', 'genres', 'kind', 'of', 'mix', 'together', 'im', 'going', 'to', 'do', 'that', 'because', 'of', 'all', 'of', 'the', 'anime', 'in', 'this', 'genre', 'this', 'might', 'be', 'my', 'favorite', 'kaede', 'joins', 'a', 'new', 'vr', 'game', 'and', 'immediately', 'decides', 'shes', 'going', 'to', 'only', 'focus', 'on', 'defense', 'because', 'she', 'doesnt', 'want', 'to', 'get', 'hurt', 'however', 'in', 'doing', 'so', 'she', 'finds', 'her', 'niche', 'in', 'the', 'game', 'and', 'becomes', 'well', 'absurd', 'and', 'absurdly', 'op', 'and', 'i', 'loved', 'the', 'chaos', 'lets', 'start', 'with', 'what', 'i', 'love', 'about', 'this', 'anime', 'i', 'usually', 'do']",Recommended,17-Aug-24
240,Hazurewaku no "Joutai Ijou Skill" de Saikyou ni Natta Ore ga Subete wo Juurin suru made,"['meh', 'i', 'saw', 'the', 'preview', 'to', 'the', 'anime', 'last', 'year', 'and', 'got', 'super', 'excited', 'and', 'the', 'preview', 'made', 'it', 'look', 'like', 'it', 'was', 'going', 'to', 'be', 'amazing', 'so', 'i', 'started', 'the', 'manga', 'and', 'ill', 'say', 'the', 'manga', 'so', 'far', 'is', 'probably', 'a', 'solid', '810', 'the', 'anime', 'has', 'kinda', 'ruined', 'it', 'in', 'my', 'opinion', 'half', 'of', 'it', 'is', 'cgi', 'and', 'its', 'fucking', 'terrible', 'cgi', 'at', 'that', 'the', 'parts', 'they', 'actually', 'animate', 'arent', 'bad', 'but', 'im', 'gonna', 'stick', 'with', 'it', 'because', 'the', 'story', 'is', 'actually', 'pretty', 'cool', 'and', 'the', 'mc', 'is', 'on', 'a', 'revenge', 'quest', 'so', 'thats', 'kinda', 'cool', 'and', 'hes', 'ruthless']",Mixed Feelings,17-Aug-24
241,Ore wa Subete wo "Parry" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai,"['first', 'it', 'was', 'a', 'good', 'gimmick', 'that', 'the', 'mc', 'had', 'no', 'idea', 'of', 'how', 'the', 'real', 'life', 'works', 'for', 'adventures', 'but', 'now', 'im', 'just', 'thinking', 'about', 'droping', 'this', 'show', 'everybody', 'should', 'watch', 'shows', 'that', 'they', 'like', 'and', 'they', 'shouldnt', 'force', 'themself', 'or', 'others', 'to', 'watch', 'somethign', 'that', 'they', 'not', 'fond', 'of', 'but', 'sometimes', 'its', 'good', 'to', 'give', 'a', 'taste', 'to', 'other', 'genre', 'and', 'themes']",Mixed Feelings,17-Aug-24
242,Naruto: Shippuuden,"['naruto', 'shippuden', 'as', 'well', 'as', 'naruto', 'as', 'a', 'franchise', 'is', 'a', 'series', 'i', 'have', 'a', 'complicated', 'relationship', 'with', 'over', 'the', 'years', 'as', 'a', 'kid', 'i', 'remember', 'liking', 'the', 'story', 'pre', 'timeskip', 'or', 'part', '1', 'a', 'lot', 'even', 'after', 'my', 'brief', 'break', 'with', 'anime', 'from', '20082012', 'i', 'did', 'eventually', 'pick', 'up', 'shippuden', 'and', 'i', 'recall', 'enjoying', 'the', 'story', 'to', 'varying', 'degrees', 'at', 'least', 'the', 'canon', 'stuff', 'up', 'until', 'the', 'war', 'arc', 'i', 'skipped', 'all', 'the', 'fillers', 'of', 'course', 'but', 'one', 'major', 'issue', 'with', 'the', 'shippuden', 'series', 'is', 'that', 'there', 'is', 'a', 'lot', 'a', 'filler', 'in', 'between', 'major', 'arcs', 'and', 'a', 'lot', 'of', 'mixed', 'canon', 'filler', 'when']",Mixed Feelings,17-Aug-24
243,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"['summer', '2024', 'roshidare', 'is', 'probably', 'the', 'most', 'popular', 'and', 'overrated', 'anime', 'of', 'the', 'summer', '2024', 'season', 'but', 'its', 'still', 'quite', 'enjoyable', 'and', 'if', 'youre', 'not', 'tired', 'of', 'romcom', 'clichés', 'its', 'worth', 'watching', 'in', 'your', 'free', 'time', 'this', 'anime', 'is', 'a', 'pretty', 'standard', 'school', 'romantic', 'comedy', 'and', 'doesnt', 'really', 'stand', 'out', 'from', 'other', 'anime', 'of', 'this', 'type']",Mixed Feelings,17-Aug-24
244,Hokkyoku Hyakkaten no Concierge-san,"['i', 'rate', 'this', 'movie', '910', 'great', 'movie', 'and', 'enjoyable', 'i', 'love', 'everything', 'about', 'this', 'movie', 'the', 'animation', 'was', 'amazing', 'the', 'story', 'is', 'unique', 'with', 'great', 'massage', 'direction', 'was', 'good', 'as', 'usual', 'by', 'the', 'way', 'its', 'from', 'ballroom', 'director', 'if', 'u', 'feel', 'the', 'animation', 'similaritiy', 'all', 'the', 'information', 'mentioned', 'in', 'the', 'movie', 'was', 'accurate', 'and', 'true', 'i', 'have', 'researched', 'every', 'piece', 'of', 'information', 'mentioned', 'that', 'how', 'anime', 'movie', 'must', 'be', 'clear', 'story', 'and', 'massages', 'i', 'hope', 'we', 'see', 'more', 'of', 'this', 'in', 'future', 'i', 'highly', 'recommend', 'watching', 'this', 'maybe', 'the', 'most', 'beautiful', 'movie', 'in', 'this', 'decade', 'i', 'dont', 'know', 'what', 'to', 'say', 'anymore', 'this', 'my', 'first', 'review']",Recommended,17-Aug-24
245,Bokura ga Ita,"['seeing', 'the', 'first', 'episode', 'i', 'was', 'intrugued', 'by', 'the', 'calmness', 'of', 'this', 'show', 'it', 'went', 'peacefully', 'sentences', 'were', 'almost', 'whispered', 'not', 'much', 'music', 'minimalistic', 'art', 'kinda', 'liked', 'it', 'the', 'humor', 'was', 'also', 'quite', 'different', 'as', 'the', 'rest', 'calm', 'quiet', 'but', 'quick', 'unfortunately', 'all', 'went', 'downhill', 'later', 'on', 'and', 'my', 'amusement', 'was', 'replaced', 'with', 'pain', 'and', 'labor', 'of', 'watching', 'until', 'i', 'felt', 'like', 'just', 'skipping', 'forward', 'up', 'until', 'the', 'realisation', 'came', 'i', 'dont', 'care', 'anymore', 'thats', 'a', 'bad', 'sign', 'right', 'the', 'show', 'was', 'heavily', 'dragging', 'with', 'sentences', 'separated', 'by', 'long', 'silence', 'the', 'sliding', 'shots', 'recaps', 'repeats', 'and', 'other', 'fillers', 'it', 'could', 'easily']",Not Recommended,17-Aug-24
246,Dosanko Gal wa Namara Menkoi,"['i', 'was', 'searching', 'for', 'a', 'light', 'anime', 'to', 'unwind', 'with', 'between', 'larger', 'projects', 'when', 'i', 'came', 'across', 'this', 'one', 'normally', 'i', 'dont', 'judge', 'an', 'anime', 'by', 'its', 'title', 'but', 'this', 'one', 'is', 'exactly', 'what', 'youd', 'expect', 'from', 'the', 'name', 'just', 'from', 'the', 'title', 'alone', 'youd', 'anticipate', 'a', 'rather', 'average', 'anime', 'full', 'of', 'clichés', 'and', 'a', 'predictable', 'storyline', 'and', 'honestly', 'that', 'pretty', 'much', 'sums', 'up', 'dosanko', 'gal', 'wa', 'namara', 'menkoi', 'the', 'anime', 'kicks', 'off', 'on', 'a', 'charming', 'note', 'with', 'the', 'main', 'character', 'shiki', 'tsubasa', 'moving', 'from', 'tokyo', 'to', 'hokkaido', 'where', 'he', 'randomly', 'stumbles', 'upon', 'a', 'blonde', 'gyaru', 'called', 'fuyuki', 'at', 'a', 'bus', 'stop', 'and', 'befriends', 'her']",Recommended,17-Aug-24
247,Jin-Rou,"['remarkable', 'drama', 'about', 'our', 'fears', 'doubts', 'actions', 'we', 'regret', 'it', 'mixes', 'a', 'good', 'script', 'with', 'a', 'very', 'elaborate', 'story', 'a', 'work', 'by', 'mamoru', 'oshii', 'about', 'a', 'man', 'who', 'sees', 'a', 'girl', 'blow', 'herself', 'up', 'being', 'able', 'to', 'shoot', 'herself', 'before', 'this', 'happens', 'but', 'not', 'doing', 'so', 'and', 'coincidentally', 'meets', 'her', 'sister', 'and', 'falls', 'in', 'love', 'with', 'her', 'sometimes', 'it', 'may', 'seem', 'like', 'a', 'slow', 'story', 'but', 'it', 'is', 'not', 'its', 'a', 'sad', 'and', 'beautiful', 'little', 'unknown', 'gem', 'of', 'anime', 'it', 'is', 'also', 'worth', 'highlighting', 'the', 'beautiful', 'and', 'delicate', 'music', 'of', 'a', 'very', 'good', 'composer', 'but', 'unknown', 'outside', 'of', 'japan', 'hajime', 'mizoguchi', 'highly', 'recommended']",Recommended,17-Aug-24
248,Dr. Stone,"['dr', 'stone', 'is', 'a', 'comedy', 'that', 'starts', 'with', 'a', 'highschool', 'boy', 'getting', 'ready', 'to', 'confess', 'his', 'love', 'to', 'a', 'girl', 'but', 'then', 'the', 'end', 'of', 'the', 'world', 'happens', 'and', 'every', 'human', 'in', 'the', 'world', 'is', 'turned', 'to', 'stone', 'cars', 'crash', 'planes', 'fall', 'from', 'the', 'sky', 'one', 'can', 'only', 'imagine', 'the', 'amount', 'of', 'deaths', 'turns', 'out', 'people', 'are', 'still', 'conscious', 'in', 'their', 'stone', 'body', 'and', 'our', 'mcs', 'keep', 'themselves', 'occupied', 'one', 'by', 'thinking', 'of', 'the', 'girl', 'he', 'loves', 'the', 'other', 'by', 'simply', 'counting', 'they', 'break', 'free', 'after', '3000', 'years', 'and', 'somehow', 'still', 'kept', 'their', 'sanity', 'despite', 'being', 'stone', 'and', 'conscious', 'for', '3', 'millennia', 'first', 'of', 'all', 'this', 'is', 'a']",Not Recommended,17-Aug-24
249,Meitantei Conan Movie 26: Kurogane no Submarine,"['i', 'was', 'completely', 'blown', 'away', 'by', 'this', 'masterpiece', 'of', 'a', 'movie', 'it', 'had', 'me', 'on', 'the', 'edge', 'of', 'my', 'seat', 'making', 'my', 'heart', 'race', 'in', 'every', 'scene', 'i', 'enjoyed', 'it', 'so', 'much', 'because', 'it', 'had', 'the', 'power', 'to', 'completely', 'change', 'my', 'mood', 'the', 'characters', 'were', 'incredibly', 'wellwritten', 'and', 'the', 'way', 'the', 'movie', 'incorporated', 'flashbacks', 'from', 'previous', 'movies', 'and', 'episodes', 'from', 'the', 'series', 'added', 'a', 'whole', 'new', 'layer', 'of', 'depth', 'to', 'the', 'story', 'its', 'rare', 'to', 'come', 'across', 'a', 'film', 'that', 'not', 'only', 'entertains', 'but', 'also', 'leaves', 'a', 'lasting', 'impact', 'and', 'this', 'movie', 'managed', 'to', 'do', 'just', 'that', 'i', 'cant', 'stop', 'thinking', 'about', 'it', 'and', 'icant']",Recommended,17-Aug-24
250,Cyberpunk: Edgerunners,"['im', 'going', 'to', 'make', 'this', 'short', 'and', 'sweet', 'sooo', 'overall', 'the', 'anime', 'is', 'good', 'and', 'has', 'a', 'sad', 'ending', 'but', 'one', 'problem', 'i', 'have', 'is', 'that', 'the', 'pace', 'is', 'way', 'to', 'fast', 'i', 'also', 'prefer', 'to', 'watch', 'animes', 'where', 'they', 'have', 'faster', 'pace', 'but', 'this', 'anime', 'just', 'speeds', 'through', 'the', 'storyline', 'very', 'quick', 'basically', 'all', 'of', 'the', 'character', 'have', 'no', 'backstory', 'and', 'the', 'anime', 'would', 'have', 'been', 'very', 'good', 'if', 'it', 'was', 'around', '1824', 'episodes', 'that', 'the', 'character', 'designs', 'were', 'unique', 'and', 'the', 'animation', 'style', 'was', 'also', 'good', 'the', 'story', 'was', 'also', 'somewhat', 'realistic', 'in', 'their', 'universe', 'you', 'might', 'need', 'to', 'watch', 'it', 'twice', 'to', 'understand']",Mixed Feelings,17-Aug-24
251,Kage no Jitsuryokusha ni Naritakute!,"['the', 'eminence', 'in', 'shadow', 'is', 'a', 'critic', 'of', 'the', 'typical', 'cringe', 'lord', 'protagonist', 'in', 'a', 'good', 'way', 'when', 'you', 'decide', 'to', 'watch', 'this', 'anime', 'you', 'need', 'to', 'have', 'in', 'consideration', 'that', 'this', 'is', 'a', 'parody', 'very', 'well', 'made', 'but', 'a', 'parody', 'look', 'at', 'this', 'anime', 'the', 'same', 'way', 'you', 'would', 'to', 'one', 'punch', 'or', 'gintama', 'the', 'story', 'is', 'captivating', 'and', 'make', 'you', 'want', 'to', 'watch', 'all', 'at', 'once', 'beside', 'the', 'characters', 'are', 'very', 'well', 'written', 'from', 'the', 'backstory', 'to', 'an', 'emotional', 'level', 'unfortonatly', 'the', 'art', 'style', 'is', 'a', 'bit', 'generic', 'and', 'simple', 'but', 'its', 'use', 'for', 'the', 'benefit', 'of', 'the', 'fight', 'scene', 'making', 'them', 'amazing', 'and']",Recommended,17-Aug-24
252,Nozomanu Fushi no Boukensha,"['this', 'is', 'the', 'best', 'isekai', 'ive', 'seen', 'in', 'a', 'while', 'the', 'only', 'thing', 'i', 'hate', 'is', 'that', 'its', 'only', '12', 'episodes', 'because', 'im', 'really', 'excited', 'to', 'see', 'whats', 'gonna', 'happen', 'next', 'thid', 'was', 'a', 'great', '12', 'episodes', 'to', 'get', 'people', 'to', 'be', 'hyped', 'about', 'the', 'premise', 'of', 'the', 'show', '910', 'animation', 'in', 'the', 'first', 'episode', 'i', 'thought', 'i', 'was', 'watching', 'mushoku', 'tensei', 'or', 'a', 'an', 'anime', 'of', 'equal', 'animation', 'because', 'the', 'animation', 'was', 'so', 'good', '910', 'story', 'the', 'story', 'is', 'amazing', 'and', 'it', 'does', 'what', 'a', '12', 'episode', 'anime', 'is', 'supposed', 'to', 'do', 'specially', 'an', 'isekai', 'spoilers', 'the', 'guy']",Recommended,17-Aug-24
253,Hunter x Hunter (2011),"['hunter', 'x', 'hunter', 'is', 'widely', 'considered', 'the', 'pinnacle', 'of', 'shonen', 'anime', 'and', 'for', 'a', 'good', 'reason', 'the', 'show', 'has', 'an', 'excellent', 'story', 'with', 'great', 'characters', 'nice', 'animation', 'and', 'voice', 'acting', 'deeper', 'themes', 'and', 'some', 'funny', 'moments', 'along', 'the', 'way', 'from', 'start', 'to', 'finish', 'there', 'is', 'very', 'little', 'to', 'criticize', 'about', 'hunter', 'x', 'hunter', 'the', 'story', 'follows', 'the', 'main', 'character', 'gon', 'an', 'energetic', 'kid', 'with', 'unique', 'green', 'hair', 'and', 'a', 'fishing', 'rod', 'as', 'he', 'goes', 'on', 'a', 'journey', 'to', 'follow', 'in', 'his', 'fathers', 'footsteps', 'to', 'become', 'a', 'hunter', 'during', 'his', 'journey', 'he', 'encounters', 'many', 'colorful', 'and', 'complex', 'characters', 'including', 'killua', 'who', 'also', 'is', 'very', 'strong', 'and', 'talented']",Recommended,17-Aug-24
254,86,"['so', 'this', 'is', 'my', 'second', 'attempt', 'at', 'watching', 'this', 'show', 'and', 'i', 'can', 'safely', 'say', 'that', 'it', 'doesn’t', 'put', 'focus', 'where', 'it', 'needs', 'to', 'be', 'i', 'have', 'no', 'complaints', 'when', 'it', 'comes', 'to', 'art', 'direction', 'or', 'music', 'they', 'range', 'from', 'serviceable', 'to', 'great', 'and', 'they', 'is', 'hardly', 'ever', 'any', 'dips', 'in', 'quality', 'in', 'those', 'departments', 'my', 'real', 'grievances', 'come', 'from', 'the', 'writing', 'it', 'comes', 'off', 'as', 'babys', 'introduction', 'to', 'racism', 'a', 'disclaimer', 'since', 'stuff', 'like', 'privilege', 'and', 'race', 'are', 'important', 'to', 'the', 'narrative', 'im', 'a', 'white', 'american', 'who', 'was', 'in', 'school', 'post', '911', 'so', 'obviously', 'this', 'is', 'going', 'to', 'affect', 'my', 'viewing', 'the', 'main', 'character', 'is', 'a']",Mixed Feelings,17-Aug-24
255,Ged Senki,"['i', 'knew', 'beforehand', 'that', 'the', 'general', 'sentiment', 'regarding', 'this', 'anime', 'was', 'lukewarm', 'at', 'best', 'but', 'i', 'needed', 'an', 'anime', 'to', 'watch', 'that', 'suited', 'both', 'me', 'and', 'my', 'wifes', 'tastes', 'so', 'hardcore', 'action', 'animes', 'were', 'out', 'of', 'the', 'question', 'and', 'this', 'one', 'seemed', 'like', 'a', 'good', 'fit', 'it', 'started', 'out', 'pretty', 'well', 'since', 'its', 'a', 'ghiblifilm', 'its', 'obviously', 'very', 'well', 'drawn', 'and', 'animated', 'and', 'it', 'set', 'up', 'a', 'pretty', 'interesting', 'set', 'of', 'mysteries', 'and', 'worldbuilding', 'early', 'on', 'i', 'liked', 'the', 'general', 'setup', 'of', 'a', 'wandering', 'wizard', 'taking', 'a', 'boy', 'with', 'a', 'strange', 'and', 'tragic', 'past', 'along', 'for', 'an', 'interesting', 'adventure', 'and', 'the', 'film', 'kept', 'this', 'up']",Mixed Feelings,17-Aug-24
256,Shingeki no Bahamut: Genesis,"['kinda', 'want', 'to', 'give', 'it', 'an', '8', 'but', 'it', 'ended', 'up', 'a', '7', 'potential', 'is', 'there', 'but', 'they', 'kinda', 'wasted', 'in', 'in', 'the', 'first', 'season', 'atleast', 'i', 'enjoyed', 'it', 'that', 'much', 'though', 'that', 'im', 'looking', 'forward', 'to', 'season', '2', 'but', 'lets', 'get', 'the', 'straight', 'into', 'the', 'obvious', 'characters', 'and', 'especially', 'the', 'mc', 'straight', 'away', 'from', 'when', 'the', 'show', 'starts', 'you', 'just', 'get', 'the', 'feeling', 'you', 'wont', 'like', 'them', 'two', 'rivals', 'just', 'their', 'design', 'is', 'not', 'likeable', 'from', 'the', 'start', 'for', 'me', 'the', 'red', 'afro', 'the', 'old', 'style', 'delinquent', 'or', 'as', 'they', 'are', 'called', 'bomber', 'head', 'and', 'hammer', 'head', 'but', 'just', 'going', 'on', 'looks', 'might', 'be']",Recommended,17-Aug-24
